         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.42579e+01   0.00000e+00  -2.89842e+01   3.49992e+01   1.00000e+02
             1   8.44116e+01   1.00000e+00  -2.79602e+01   3.49994e+01   1.00083e+02
             2   8.45646e+01   2.00000e+00  -2.68270e+01   3.49996e+01   1.00167e+02
             3   8.47446e+01   3.00000e+00  -2.57110e+01   3.49998e+01   1.00250e+02
             4   8.49288e+01   4.00000e+00  -2.47484e+01   3.50002e+01   1.00333e+02
             5   8.51393e+01   5.00000e+00  -2.38643e+01   3.50007e+01   1.00417e+02
             6   8.53510e+01   6.00000e+00  -2.30314e+01   3.50012e+01   1.00500e+02
             7   8.55662e+01   7.00000e+00  -2.22483e+01   3.50019e+01   1.00583e+02
             8   8.57714e+01   8.00000e+00  -2.15800e+01   3.50029e+01   1.00667e+02
             9   8.59860e+01   9.00000e+00  -2.09299e+01   3.50039e+01   1.00750e+02
            10   8.61854e+01   1.00000e+01  -2.03376e+01   3.50049e+01   1.00833e+02
            11   8.64178e+01   1.10000e+01  -1.98029e+01   3.50060e+01   1.00917e+02
            12   8.66394e+01   1.20000e+01  -1.93141e+01   3.50073e+01   1.01000e+02
            13   8.68487e+01   1.30000e+01  -1.88311e+01   3.50085e+01   1.01083e+02
            14   8.70669e+01   1.40000e+01  -1.83727e+01   3.50096e+01   1.01167e+02
            15   8.72665e+01   1.50000e+01  -1.79296e+01   3.50107e+01   1.01250e+02
            16   8.74908e+01   1.60000e+01  -1.75678e+01   3.50116e+01   1.01333e+02
            17   8.77034e+01   1.70000e+01  -1.71796e+01   3.50124e+01   1.01417e+02
            18   8.79244e+01   1.80000e+01  -1.68232e+01   3.50131e+01   1.01500e+02
            19   8.81312e+01   1.90000e+01  -1.64703e+01   3.50137e+01   1.01583e+02
            20   8.83323e+01   2.00000e+01  -1.61767e+01   3.50140e+01   1.01667e+02
            21   8.85409e+01   2.10000e+01  -1.58545e+01   3.50143e+01   1.01750e+02
            22   8.87740e+01   2.20000e+01  -1.55513e+01   3.50146e+01   1.01833e+02
            23   8.89557e+01   2.30000e+01  -1.52620e+01   3.50149e+01   1.01917e+02
            24   8.91624e+01   2.40000e+01  -1.50090e+01   3.50148e+01   1.02000e+02
            25   8.93537e+01   2.50000e+01  -1.47702e+01   3.50149e+01   1.02083e+02
            26   8.95610e+01   2.60000e+01  -1.45358e+01   3.50149e+01   1.02167e+02
            27   8.97531e+01   2.70000e+01  -1.43210e+01   3.50150e+01   1.02250e+02
            28   8.99436e+01   2.80000e+01  -1.41505e+01   3.50150e+01   1.02333e+02
            29   9.01463e+01   2.90000e+01  -1.39450e+01   3.50150e+01   1.02417e+02
            30   9.03362e+01   3.00000e+01  -1.37329e+01   3.50150e+01   1.02500e+02
            31   9.05355e+01   3.10000e+01  -1.35320e+01   3.50149e+01   1.02583e+02
            32   9.07175e+01   3.20000e+01  -1.33826e+01   3.50148e+01   1.02667e+02
            33   9.09035e+01   3.30000e+01  -1.31987e+01   3.50147e+01   1.02750e+02
            34   9.10912e+01   3.40000e+01  -1.30163e+01   3.50145e+01   1.02833e+02
            35   9.12826e+01   3.50000e+01  -1.28437e+01   3.50144e+01   1.02917e+02
            36   9.14514e+01   3.60000e+01  -1.27191e+01   3.50143e+01   1.03000e+02
            37   9.16298e+01   3.70000e+01  -1.25733e+01   3.50142e+01   1.03083e+02
            38   9.18190e+01   3.80000e+01  -1.24274e+01   3.50141e+01   1.03167e+02
            39   9.19860e+01   3.90000e+01  -1.22851e+01   3.50141e+01   1.03250e+02
            40   9.21755e+01   4.00000e+01  -1.21827e+01   3.50140e+01   1.03333e+02
            41   9.23549e+01   4.10000e+01  -1.20584e+01   3.50138e+01   1.03417e+02
            42   9.25122e+01   4.20000e+01  -1.19287e+01   3.50137e+01   1.03500e+02
            43   9.26766e+01   4.30000e+01  -1.18079e+01   3.50136e+01   1.03583e+02
            44   9.28587e+01   4.40000e+01  -1.17337e+01   3.50134e+01   1.03667e+02
            45   9.30161e+01   4.50000e+01  -1.16316e+01   3.50132e+01   1.03750e+02
            46   9.31854e+01   4.60000e+01  -1.15220e+01   3.50131e+01   1.03833e+02
            47   9.33551e+01   4.70000e+01  -1.14195e+01   3.50131e+01   1.03917e+02
            48   9.35260e+01   4.80000e+01  -1.13588e+01   3.50131e+01   1.04000e+02
            49   9.36852e+01   4.90000e+01  -1.12741e+01   3.50130e+01   1.04083e+02
            50   9.38565e+01   5.00000e+01  -1.11836e+01   3.50130e+01   1.04167e+02
            51   9.40058e+01   5.10000e+01  -1.11008e+01   3.50130e+01   1.04250e+02
            52   9.41599e+01   5.20000e+01  -1.10458e+01   3.50130e+01   1.04333e+02
            53   9.43226e+01   5.30000e+01  -1.09773e+01   3.50130e+01   1.04417e+02
            54   9.44899e+01   5.40000e+01  -1.09069e+01   3.50130e+01   1.04500e+02
            55   9.46393e+01   5.50000e+01  -1.08378e+01   3.50129e+01   1.04583e+02
            56   9.47760e+01   5.60000e+01  -1.07900e+01   3.50128e+01   1.04667e+02
            57   9.49421e+01   5.70000e+01  -1.07334e+01   3.50127e+01   1.04750e+02
            58   9.50989e+01   5.80000e+01  -1.06761e+01   3.50125e+01   1.04833e+02
            59   9.52483e+01   5.90000e+01  -1.06217e+01   3.50124e+01   1.04917e+02
            60   9.53998e+01   6.00000e+01  -1.05776e+01   3.50123e+01   1.05000e+02
            61   9.55505e+01   6.10000e+01  -1.05298e+01   3.50122e+01   1.05083e+02
            62   9.56999e+01   6.20000e+01  -1.04822e+01   3.50121e+01   1.05167e+02
            63   9.58541e+01   6.30000e+01  -1.04352e+01   3.50120e+01   1.05250e+02
            64   9.59967e+01   6.40000e+01  -1.04078e+01   3.50121e+01   1.05333e+02
            65   9.61366e+01   6.50000e+01  -1.03724e+01   3.50120e+01   1.05417e+02
            66   9.62916e+01   6.60000e+01  -1.03339e+01   3.50120e+01   1.05500e+02
            67   9.64437e+01   6.70000e+01  -1.02938e+01   3.50120e+01   1.05583e+02
            68   9.65707e+01   6.80000e+01  -1.02697e+01   3.50120e+01   1.05667e+02
            69   9.67148e+01   6.90000e+01  -1.02404e+01   3.50120e+01   1.05750e+02
            70   9.68677e+01   7.00000e+01  -1.02110e+01   3.50120e+01   1.05833e+02
            71   9.70028e+01   7.10000e+01  -1.01818e+01   3.50120e+01   1.05917e+02
            72   9.71493e+01   7.20000e+01  -1.01602e+01   3.50120e+01   1.06000e+02
            73   9.72796e+01   7.30000e+01  -1.01379e+01   3.50120e+01   1.06083e+02
            74   9.74326e+01   7.40000e+01  -1.01163e+01   3.50120e+01   1.06167e+02
            75   9.75793e+01   7.50000e+01  -1.00961e+01   3.50120e+01   1.06250e+02
            76   9.77307e+01   7.60000e+01  -1.00814e+01   3.50120e+01   1.06333e+02
            77   9.78582e+01   7.70000e+01  -1.00633e+01   3.50120e+01   1.06417e+02
            78   9.80007e+01   7.80000e+01  -1.00452e+01   3.50120e+01   1.06500e+02
            79   9.81334e+01   7.90000e+01  -1.00280e+01   3.50120e+01   1.06583e+02
            80   9.82752e+01   8.00000e+01  -1.00211e+01   3.50120e+01   1.06667e+02
            81   9.84036e+01   8.10000e+01  -1.00105e+01   3.50120e+01   1.06750e+02
            82   9.85252e+01   8.20000e+01  -9.99932e+00   3.50120e+01   1.06833e+02
            83   9.86559e+01   8.30000e+01  -9.98840e+00   3.50120e+01   1.06917e+02
            84   9.88002e+01   8.40000e+01  -9.98326e+00   3.50120e+01   1.07000e+02
            85   9.89492e+01   8.50000e+01  -9.97662e+00   3.50120e+01   1.07083e+02
            86   9.90623e+01   8.60000e+01  -9.96907e+00   3.50120e+01   1.07167e+02
            87   9.91999e+01   8.70000e+01  -9.96019e+00   3.50119e+01   1.07250e+02
            88   9.93404e+01   8.80000e+01  -9.95633e+00   3.50118e+01   1.07333e+02
            89   9.94633e+01   8.90000e+01  -9.95132e+00   3.50117e+01   1.07417e+02
            90   9.95931e+01   9.00000e+01  -9.94798e+00   3.50115e+01   1.07500e+02
            91   9.97274e+01   9.10000e+01  -9.94616e+00   3.50114e+01   1.07583e+02
            92   9.98664e+01   9.20000e+01  -9.94723e+00   3.50113e+01   1.07667e+02
            93   9.99954e+01   9.30000e+01  -9.94659e+00   3.50112e+01   1.07750e+02
            94   1.00116e+02   9.40000e+01  -9.94587e+00   3.50111e+01   1.07833e+02
            95   1.00257e+02   9.50000e+01  -9.94528e+00   3.50110e+01   1.07917e+02
            96   1.00391e+02   9.60000e+01  -9.94810e+00   3.50111e+01   1.08000e+02
            97   1.00529e+02   9.70000e+01  -9.94973e+00   3.50110e+01   1.08083e+02
            98   1.00647e+02   9.80000e+01  -9.95164e+00   3.50110e+01   1.08167e+02
            99   1.00766e+02   9.90000e+01  -9.95450e+00   3.50110e+01   1.08250e+02
           100   1.00906e+02   1.00000e+02  -9.96582e+00   3.50110e+01   1.08333e+02
           101   1.01033e+02   1.01000e+02  -9.97260e+00   3.50110e+01   1.08417e+02
           102   1.01153e+02   1.02000e+02  -9.97719e+00   3.50110e+01   1.08500e+02
           103   1.01278e+02   1.03000e+02  -9.98028e+00   3.50110e+01   1.08583e+02
           104   1.01407e+02   1.04000e+02  -9.98601e+00   3.50110e+01   1.08667e+02
           105   1.01534e+02   1.05000e+02  -9.99112e+00   3.50110e+01   1.08750e+02
           106   1.01669e+02   1.06000e+02  -9.99755e+00   3.50110e+01   1.08833e+02
           107   1.01783e+02   1.07000e+02  -1.00047e+01   3.50110e+01   1.08917e+02
           108   1.01922e+02   1.08000e+02  -1.00137e+01   3.50110e+01   1.09000e+02
           109   1.02039e+02   1.09000e+02  -1.00210e+01   3.50110e+01   1.09083e+02
           110   1.02158e+02   1.10000e+02  -1.00279e+01   3.50110e+01   1.09167e+02
           111   1.02283e+02   1.11000e+02  -1.00350e+01   3.50110e+01   1.09250e+02
           112   1.02399e+02   1.12000e+02  -1.00414e+01   3.50110e+01   1.09333e+02
           113   1.02520e+02   1.13000e+02  -1.00487e+01   3.50110e+01   1.09417e+02
           114   1.02658e+02   1.14000e+02  -1.00558e+01   3.50110e+01   1.09500e+02
           115   1.02784e+02   1.15000e+02  -1.00624e+01   3.50110e+01   1.09583e+02
           116   1.02895e+02   1.16000e+02  -1.00697e+01   3.50110e+01   1.09667e+02
           117   1.03025e+02   1.17000e+02  -1.00760e+01   3.50110e+01   1.09750e+02
           118   1.03143e+02   1.18000e+02  -1.00832e+01   3.50110e+01   1.09833e+02
           119   1.03263e+02   1.19000e+02  -1.00911e+01   3.50110e+01   1.09917e+02
           120   1.03393e+02   1.20000e+02  -1.00968e+01   3.50110e+01   1.10000e+02
           121   1.03506e+02   1.21000e+02  -1.01046e+01   3.50110e+01   1.10083e+02
           122   1.03628e+02   1.22000e+02  -1.01119e+01   3.50110e+01   1.10167e+02
           123   1.03743e+02   1.23000e+02  -1.01183e+01   3.50110e+01   1.10250e+02
           124   1.03869e+02   1.24000e+02  -1.01226e+01   3.50110e+01   1.10333e+02
           125   1.03991e+02   1.25000e+02  -1.01285e+01   3.50110e+01   1.10417e+02
           126   1.04111e+02   1.26000e+02  -1.01352e+01   3.50110e+01   1.10500e+02
           127   1.04228e+02   1.27000e+02  -1.01418e+01   3.50110e+01   1.10583e+02
           128   1.04343e+02   1.28000e+02  -1.01520e+01   3.50110e+01   1.10667e+02
           129   1.04457e+02   1.29000e+02  -1.01605e+01   3.50110e+01   1.10750e+02
           130   1.04579e+02   1.30000e+02  -1.01686e+01   3.50110e+01   1.10833e+02
           131   1.04703e+02   1.31000e+02  -1.01763e+01   3.50109e+01   1.10917e+02
           132   1.04817e+02   1.32000e+02  -1.01822e+01   3.50108e+01   1.11000e+02
           133   1.04931e+02   1.33000e+02  -1.01890e+01   3.50107e+01   1.11083e+02
           134   1.05047e+02   1.34000e+02  -1.01948e+01   3.50105e+01   1.11167e+02
           135   1.05169e+02   1.35000e+02  -1.02011e+01   3.50104e+01   1.11250e+02
           136   1.05282e+02   1.36000e+02  -1.02079e+01   3.50103e+01   1.11333e+02
           137   1.05408e+02   1.37000e+02  -1.02130e+01   3.50102e+01   1.11417e+02
           138   1.05506e+02   1.38000e+02  -1.02191e+01   3.50101e+01   1.11500e+02
           139   1.05621e+02   1.39000e+02  -1.02260e+01   3.50100e+01   1.11583e+02
           140   1.05744e+02   1.40000e+02  -1.02311e+01   3.50099e+01   1.11667e+02
           141   1.05845e+02   1.41000e+02  -1.02360e+01   3.50098e+01   1.11750e+02
           142   1.05975e+02   1.42000e+02  -1.02418e+01   3.50097e+01   1.11833e+02
           143   1.06094e+02   1.43000e+02  -1.02473e+01   3.50096e+01   1.11917e+02
           144   1.06202e+02   1.44000e+02  -1.02527e+01   3.50094e+01   1.12000e+02
           145   1.06319e+02   1.45000e+02  -1.02585e+01   3.50092e+01   1.12083e+02
           146   1.06439e+02   1.46000e+02  -1.02651e+01   3.50091e+01   1.12167e+02
           147   1.06551e+02   1.47000e+02  -1.02721e+01   3.50091e+01   1.12250e+02
           148   1.06662e+02   1.48000e+02  -1.02830e+01   3.50091e+01   1.12333e+02
           149   1.06771e+02   1.49000e+02  -1.02909e+01   3.50090e+01   1.12417e+02
           150   1.06881e+02   1.50000e+02  -1.02992e+01   3.50090e+01   1.12500e+02
           151   1.06996e+02   1.51000e+02  -1.03077e+01   3.50090e+01   1.12583e+02
           152   1.07106e+02   1.52000e+02  -1.03181e+01   3.50090e+01   1.12667e+02
           153   1.07223e+02   1.53000e+02  -1.03279e+01   3.50090e+01   1.12750e+02
           154   1.07331e+02   1.54000e+02  -1.03365e+01   3.50090e+01   1.12833e+02
           155   1.07451e+02   1.55000e+02  -1.03450e+01   3.50090e+01   1.12917e+02
           156   1.07561e+02   1.56000e+02  -1.03547e+01   3.50090e+01   1.13000e+02
           157   1.07672e+02   1.57000e+02  -1.03640e+01   3.50090e+01   1.13083e+02
           158   1.07787e+02   1.58000e+02  -1.03731e+01   3.50090e+01   1.13167e+02
           159   1.07892e+02   1.59000e+02  -1.03818e+01   3.50089e+01   1.13250e+02
           160   1.08016e+02   1.60000e+02  -1.03890e+01   3.50088e+01   1.13333e+02
           161   1.08117e+02   1.61000e+02  -1.03950e+01   3.50087e+01   1.13417e+02
           162   1.08226e+02   1.62000e+02  -1.04015e+01   3.50085e+01   1.13500e+02
           163   1.08340e+02   1.63000e+02  -1.04088e+01   3.50084e+01   1.13583e+02
           164   1.08444e+02   1.64000e+02  -1.04118e+01   3.50083e+01   1.13667e+02
           165   1.08556e+02   1.65000e+02  -1.04163e+01   3.50082e+01   1.13750e+02
           166   1.08659e+02   1.66000e+02  -1.04215e+01   3.50081e+01   1.13833e+02
           167   1.08780e+02   1.67000e+02  -1.04274e+01   3.50080e+01   1.13917e+02
           168   1.08889e+02   1.68000e+02  -1.04303e+01   3.50081e+01   1.14000e+02
           169   1.09000e+02   1.69000e+02  -1.04352e+01   3.50080e+01   1.14083e+02
           170   1.09108e+02   1.70000e+02  -1.04409e+01   3.50080e+01   1.14167e+02
           171   1.09202e+02   1.71000e+02  -1.04465e+01   3.50080e+01   1.14250e+02
           172   1.09315e+02   1.72000e+02  -1.04531e+01   3.50080e+01   1.14333e+02
           173   1.09425e+02   1.73000e+02  -1.04600e+01   3.50080e+01   1.14417e+02
           174   1.09547e+02   1.74000e+02  -1.04675e+01   3.50080e+01   1.14500e+02
           175   1.09647e+02   1.75000e+02  -1.04756e+01   3.50080e+01   1.14583e+02
           176   1.09741e+02   1.76000e+02  -1.04851e+01   3.50079e+01   1.14667e+02
           177   1.09849e+02   1.77000e+02  -1.04949e+01   3.50078e+01   1.14750e+02
           178   1.09966e+02   1.78000e+02  -1.05037e+01   3.50077e+01   1.14833e+02
           179   1.10067e+02   1.79000e+02  -1.05115e+01   3.50076e+01   1.14917e+02
           180   1.10172e+02   1.80000e+02  -1.05230e+01   3.50074e+01   1.15000e+02
           181   1.10287e+02   1.81000e+02  -1.05315e+01   3.50072e+01   1.15083e+02
           182   1.10387e+02   1.82000e+02  -1.05385e+01   3.50071e+01   1.15167e+02
           183   1.10505e+02   1.83000e+02  -1.05460e+01   3.50071e+01   1.15250e+02
           184   1.10593e+02   1.84000e+02  -1.05553e+01   3.50071e+01   1.15333e+02
           185   1.10710e+02   1.85000e+02  -1.05625e+01   3.50070e+01   1.15417e+02
           186   1.10799e+02   1.86000e+02  -1.05691e+01   3.50070e+01   1.15500e+02
           187   1.10924e+02   1.87000e+02  -1.05760e+01   3.50070e+01   1.15583e+02
           188   1.11023e+02   1.88000e+02  -1.05777e+01   3.50070e+01   1.15667e+02
           189   1.11143e+02   1.89000e+02  -1.05841e+01   3.50070e+01   1.15750e+02
           190   1.11245e+02   1.90000e+02  -1.05919e+01   3.50070e+01   1.15833e+02
           191   1.11336e+02   1.91000e+02  -1.05996e+01   3.50070e+01   1.15917e+02
           192   1.11442e+02   1.92000e+02  -1.06069e+01   3.50070e+01   1.16000e+02
           193   1.11550e+02   1.93000e+02  -1.06158e+01   3.50070e+01   1.16083e+02
           194   1.11655e+02   1.94000e+02  -1.06242e+01   3.50070e+01   1.16167e+02
           195   1.11757e+02   1.95000e+02  -1.06330e+01   3.50070e+01   1.16250e+02
           196   1.11868e+02   1.96000e+02  -1.06434e+01   3.50070e+01   1.16333e+02
           197   1.11974e+02   1.97000e+02  -1.06531e+01   3.50069e+01   1.16417e+02
           198   1.12064e+02   1.98000e+02  -1.06627e+01   3.50068e+01   1.16500e+02
           199   1.12169e+02   1.99000e+02  -1.06705e+01   3.50067e+01   1.16583e+02
           200   1.12280e+02   2.00000e+02  -1.06823e+01   3.50064e+01   1.16667e+02
           201   1.12372e+02   2.01000e+02  -1.06927e+01   3.50062e+01   1.16750e+02
           202   1.12478e+02   2.02000e+02  -1.07023e+01   3.50059e+01   1.16833e+02
           203   1.12602e+02   2.03000e+02  -1.07108e+01   3.50057e+01   1.16917e+02
           204   1.12691e+02   2.04000e+02  -1.07183e+01   3.50055e+01   1.17000e+02
           205   1.12788e+02   2.05000e+02  -1.07258e+01   3.50053e+01   1.17083e+02
           206   1.12900e+02   2.06000e+02  -1.07342e+01   3.50052e+01   1.17167e+02
           207   1.13011e+02   2.07000e+02  -1.07423e+01   3.50051e+01   1.17250e+02
           208   1.13097e+02   2.08000e+02  -1.07463e+01   3.50051e+01   1.17333e+02
           209   1.13194e+02   2.09000e+02  -1.07520e+01   3.50051e+01   1.17417e+02
           210   1.13299e+02   2.10000e+02  -1.07581e+01   3.50050e+01   1.17500e+02
           211   1.13399e+02   2.11000e+02  -1.07653e+01   3.50050e+01   1.17583e+02
           212   1.13509e+02   2.12000e+02  -1.07699e+01   3.50050e+01   1.17667e+02
           213   1.13612e+02   2.13000e+02  -1.07771e+01   3.50050e+01   1.17750e+02
           214   1.13714e+02   2.14000e+02  -1.07832e+01   3.50050e+01   1.17833e+02
           215   1.13811e+02   2.15000e+02  -1.07899e+01   3.50050e+01   1.17917e+02
           216   1.13924e+02   2.16000e+02  -1.07986e+01   3.50050e+01   1.18000e+02
           217   1.14007e+02   2.17000e+02  -1.08073e+01   3.50050e+01   1.18083e+02
           218   1.14116e+02   2.18000e+02  -1.08169e+01   3.50050e+01   1.18167e+02
           219   1.14224e+02   2.19000e+02  -1.08267e+01   3.50050e+01   1.18250e+02
           220   1.14331e+02   2.20000e+02  -1.08386e+01   3.50049e+01   1.18333e+02
           221   1.14431e+02   2.21000e+02  -1.08484e+01   3.50048e+01   1.18417e+02
           222   1.14529e+02   2.22000e+02  -1.08584e+01   3.50047e+01   1.18500e+02
           223   1.14627e+02   2.23000e+02  -1.08676e+01   3.50046e+01   1.18583e+02
           224   1.14737e+02   2.24000e+02  -1.08767e+01   3.50044e+01   1.18667e+02
           225   1.14818e+02   2.25000e+02  -1.08842e+01   3.50042e+01   1.18750e+02
           226   1.14911e+02   2.26000e+02  -1.08920e+01   3.50041e+01   1.18833e+02
           227   1.15017e+02   2.27000e+02  -1.08994e+01   3.50041e+01   1.18917e+02
           228   1.15123e+02   2.28000e+02  -1.09063e+01   3.50041e+01   1.19000e+02
           229   1.15219e+02   2.29000e+02  -1.09152e+01   3.50040e+01   1.19083e+02
           230   1.15322e+02   2.30000e+02  -1.09257e+01   3.50040e+01   1.19167e+02
           231   1.15413e+02   2.31000e+02  -1.09367e+01   3.50040e+01   1.19250e+02
           232   1.15518e+02   2.32000e+02  -1.09435e+01   3.50040e+01   1.19333e+02
           233   1.15619e+02   2.33000e+02  -1.09531e+01   3.50040e+01   1.19417e+02
           234   1.15708e+02   2.34000e+02  -1.09633e+01   3.50040e+01   1.19500e+02
           235   1.15814e+02   2.35000e+02  -1.09734e+01   3.50040e+01   1.19583e+02
           236   1.15906e+02   2.36000e+02  -1.09880e+01   3.50040e+01   1.19667e+02
           237   1.16019e+02   2.37000e+02  -1.09992e+01   3.50040e+01   1.19750e+02
           238   1.16103e+02   2.38000e+02  -1.10084e+01   3.50039e+01   1.19833e+02
           239   1.16214e+02   2.39000e+02  -1.10161e+01   3.50038e+01   1.19917e+02
           240   1.16311e+02   2.40000e+02  -1.10286e+01   3.50036e+01   1.20000e+02
           241   1.16399e+02   2.41000e+02  -1.10391e+01   3.50035e+01   1.20083e+02
           242   1.16509e+02   2.42000e+02  -1.10486e+01   3.50034e+01   1.20167e+02
           243   1.16604e+02   2.43000e+02  -1.10587e+01   3.50033e+01   1.20250e+02
           244   1.16692e+02   2.44000e+02  -1.10654e+01   3.50032e+01   1.20333e+02
           245   1.16798e+02   2.45000e+02  -1.10754e+01   3.50031e+01   1.20417e+02
           246   1.16898e+02   2.46000e+02  -1.10859e+01   3.50031e+01   1.20500e+02
           247   1.17000e+02   2.47000e+02  -1.10960e+01   3.50030e+01   1.20583e+02
           248   1.17090e+02   2.48000e+02  -1.11069e+01   3.50030e+01   1.20667e+02
           249   1.17193e+02   2.49000e+02  -1.11187e+01   3.50030e+01   1.20750e+02
           250   1.17285e+02   2.50000e+02  -1.11298e+01   3.50030e+01   1.20833e+02
           251   1.17394e+02   2.51000e+02  -1.11405e+01   3.50030e+01   1.20917e+02
           252   1.17478e+02   2.52000e+02  -1.11540e+01   3.50030e+01   1.21000e+02
           253   1.17579e+02   2.53000e+02  -1.11645e+01   3.50030e+01   1.21083e+02
           254   1.17677e+02   2.54000e+02  -1.11744e+01   3.50030e+01   1.21167e+02
           255   1.17786e+02   2.55000e+02  -1.11842e+01   3.50030e+01   1.21250e+02
           256   1.17874e+02   2.56000e+02  -1.11936e+01   3.50029e+01   1.21333e+02
           257   1.17976e+02   2.57000e+02  -1.12028e+01   3.50028e+01   1.21417e+02
           258   1.18061e+02   2.58000e+02  -1.12127e+01   3.50027e+01   1.21500e+02
           259   1.18152e+02   2.59000e+02  -1.12230e+01   3.50026e+01   1.21583e+02
           260   1.18265e+02   2.60000e+02  -1.12324e+01   3.50024e+01   1.21667e+02
           261   1.18354e+02   2.61000e+02  -1.12449e+01   3.50022e+01   1.21750e+02
           262   1.18443e+02   2.62000e+02  -1.12578e+01   3.50021e+01   1.21833e+02
           263   1.18546e+02   2.63000e+02  -1.12704e+01   3.50021e+01   1.21917e+02
           264   1.18654e+02   2.64000e+02  -1.12828e+01   3.50021e+01   1.22000e+02
           265   1.18752e+02   2.65000e+02  -1.12951e+01   3.50020e+01   1.22083e+02
           266   1.18831e+02   2.66000e+02  -1.13065e+01   3.50020e+01   1.22167e+02
           267   1.18940e+02   2.67000e+02  -1.13176e+01   3.50020e+01   1.22250e+02
           268   1.19032e+02   2.68000e+02  -1.13343e+01   3.50020e+01   1.22333e+02
           269   1.19129e+02   2.69000e+02  -1.13472e+01   3.50020e+01   1.22417e+02
           270   1.19223e+02   2.70000e+02  -1.13589e+01   3.50020e+01   1.22500e+02
           271   1.19318e+02   2.71000e+02  -1.13700e+01   3.50020e+01   1.22583e+02
           272   1.19420e+02   2.72000e+02  -1.13788e+01   3.50020e+01   1.22667e+02
           273   1.19507e+02   2.73000e+02  -1.13902e+01   3.50019e+01   1.22750e+02
           274   1.19598e+02   2.74000e+02  -1.14029e+01   3.50018e+01   1.22833e+02
           275   1.19695e+02   2.75000e+02  -1.14159e+01   3.50017e+01   1.22917e+02
           276   1.19793e+02   2.76000e+02  -1.14250e+01   3.50015e+01   1.23000e+02
           277   1.19880e+02   2.77000e+02  -1.14354e+01   3.50014e+01   1.23083e+02
           278   1.19992e+02   2.78000e+02  -1.14474e+01   3.50013e+01   1.23167e+02
           279   1.20070e+02   2.79000e+02  -1.14589e+01   3.50012e+01   1.23250e+02
           280   1.20169e+02   2.80000e+02  -1.14719e+01   3.50011e+01   1.23333e+02
           281   1.20258e+02   2.81000e+02  -1.14841e+01   3.50011e+01   1.23417e+02
           282   1.20360e+02   2.82000e+02  -1.14967e+01   3.50011e+01   1.23500e+02
           283   1.20450e+02   2.83000e+02  -1.15096e+01   3.50010e+01   1.23583e+02
           284   1.20544e+02   2.84000e+02  -1.15235e+01   3.50010e+01   1.23667e+02
           285   1.20637e+02   2.85000e+02  -1.15378e+01   3.50010e+01   1.23750e+02
           286   1.20744e+02   2.86000e+02  -1.15514e+01   3.50010e+01   1.23833e+02
           287   1.20829e+02   2.87000e+02  -1.15633e+01   3.50009e+01   1.23917e+02
           288   1.20931e+02   2.88000e+02  -1.15772e+01   3.50008e+01   1.24000e+02
           289   1.21023e+02   2.89000e+02  -1.15898e+01   3.50007e+01   1.24083e+02
           290   1.21113e+02   2.90000e+02  -1.16029e+01   3.50005e+01   1.24167e+02
           291   1.21206e+02   2.91000e+02  -1.16166e+01   3.50004e+01   1.24250e+02
           292   1.21308e+02   2.92000e+02  -1.16319e+01   3.50003e+01   1.24333e+02
           293   1.21403e+02   2.93000e+02  -1.16459e+01   3.50002e+01   1.24417e+02
           294   1.21491e+02   2.94000e+02  -1.16600e+01   3.50001e+01   1.24500e+02
           295   1.21589e+02   2.95000e+02  -1.16751e+01   3.50000e+01   1.24583e+02
           296   1.21675e+02   2.96000e+02  -1.16845e+01   3.50001e+01   1.24667e+02
           297   1.21780e+02   2.97000e+02  -1.16959e+01   3.50000e+01   1.24750e+02
           298   1.21872e+02   2.98000e+02  -1.17083e+01   3.50000e+01   1.24833e+02
           299   1.21959e+02   2.99000e+02  -1.17217e+01   3.50000e+01   1.24917e+02
           300   1.22049e+02   3.00000e+02  -1.17392e+01   3.50000e+01   1.25000e+02
           301   1.22154e+02   3.01000e+02  -1.17542e+01   3.50000e+01   1.25083e+02
           302   1.22245e+02   3.02000e+02  -1.17683e+01   3.50000e+01   1.25167e+02
           303   1.22335e+02   3.03000e+02  -1.17815e+01   3.49999e+01   1.25250e+02
           304   1.22431e+02   3.04000e+02  -1.17941e+01   3.49998e+01   1.25333e+02
           305   1.22527e+02   3.05000e+02  -1.18074e+01   3.49997e+01   1.25417e+02
           306   1.22608e+02   3.06000e+02  -1.18211e+01   3.49995e+01   1.25500e+02
           307   1.22699e+02   3.07000e+02  -1.18349e+01   3.49994e+01   1.25583e+02
           308   1.22800e+02   3.08000e+02  -1.18488e+01   3.49993e+01   1.25667e+02
           309   1.22883e+02   3.09000e+02  -1.18626e+01   3.49992e+01   1.25750e+02
           310   1.22987e+02   3.10000e+02  -1.18763e+01   3.49991e+01   1.25833e+02
           311   1.23085e+02   3.11000e+02  -1.18896e+01   3.49990e+01   1.25917e+02
           312   1.23180e+02   3.12000e+02  -1.19001e+01   3.49991e+01   1.26000e+02
           313   1.23267e+02   3.13000e+02  -1.19115e+01   3.49990e+01   1.26083e+02
           314   1.23359e+02   3.14000e+02  -1.19233e+01   3.49990e+01   1.26167e+02
           315   1.23460e+02   3.15000e+02  -1.19353e+01   3.49990e+01   1.26250e+02
           316   1.23557e+02   3.16000e+02  -1.19465e+01   3.49990e+01   1.26333e+02
