         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.43404e+01   0.00000e+00  -2.15515e+01   1.17702e+01   1.00000e+02
             1   8.45015e+01   1.00000e+00  -2.06601e+01   1.17704e+01   1.00083e+02
             2   8.46582e+01   2.00000e+00  -1.96664e+01   1.17707e+01   1.00167e+02
             3   8.48353e+01   3.00000e+00  -1.86897e+01   1.17710e+01   1.00250e+02
             4   8.50283e+01   4.00000e+00  -1.78419e+01   1.17717e+01   1.00333e+02
             5   8.52327e+01   5.00000e+00  -1.70671e+01   1.17724e+01   1.00417e+02
             6   8.54511e+01   6.00000e+00  -1.63852e+01   1.17731e+01   1.00500e+02
             7   8.56536e+01   7.00000e+00  -1.57256e+01   1.17740e+01   1.00583e+02
             8   8.58755e+01   8.00000e+00  -1.51587e+01   1.17753e+01   1.00667e+02
             9   8.60803e+01   9.00000e+00  -1.46115e+01   1.17765e+01   1.00750e+02
            10   8.63016e+01   1.00000e+01  -1.41156e+01   1.17778e+01   1.00833e+02
            11   8.65051e+01   1.10000e+01  -1.36656e+01   1.17791e+01   1.00917e+02
            12   8.67370e+01   1.20000e+01  -1.32571e+01   1.17806e+01   1.01000e+02
            13   8.69561e+01   1.30000e+01  -1.28508e+01   1.17819e+01   1.01083e+02
            14   8.71760e+01   1.40000e+01  -1.24642e+01   1.17832e+01   1.01167e+02
            15   8.73997e+01   1.50000e+01  -1.20912e+01   1.17843e+01   1.01250e+02
            16   8.76354e+01   1.60000e+01  -1.17860e+01   1.17853e+01   1.01333e+02
            17   8.78342e+01   1.70000e+01  -1.14848e+01   1.17862e+01   1.01417e+02
            18   8.80525e+01   1.80000e+01  -1.11853e+01   1.17870e+01   1.01500e+02
            19   8.82638e+01   1.90000e+01  -1.08937e+01   1.17877e+01   1.01583e+02
            20   8.84826e+01   2.00000e+01  -1.06535e+01   1.17880e+01   1.01667e+02
            21   8.86928e+01   2.10000e+01  -1.04041e+01   1.17883e+01   1.01750e+02
            22   8.88979e+01   2.20000e+01  -1.01633e+01   1.17886e+01   1.01833e+02
            23   8.91152e+01   2.30000e+01  -9.93166e+00   1.17889e+01   1.01917e+02
            24   8.93143e+01   2.40000e+01  -9.77199e+00   1.17888e+01   1.02000e+02
            25   8.95202e+01   2.50000e+01  -9.58001e+00   1.17889e+01   1.02083e+02
            26   8.97147e+01   2.60000e+01  -9.38459e+00   1.17889e+01   1.02167e+02
            27   8.99057e+01   2.70000e+01  -9.18123e+00   1.17890e+01   1.02250e+02
            28   9.01267e+01   2.80000e+01  -9.04213e+00   1.17890e+01   1.02333e+02
            29   9.03087e+01   2.90000e+01  -8.88110e+00   1.17890e+01   1.02417e+02
            30   9.04960e+01   3.00000e+01  -8.71538e+00   1.17890e+01   1.02500e+02
            31   9.06762e+01   3.10000e+01  -8.55972e+00   1.17890e+01   1.02583e+02
            32   9.08775e+01   3.20000e+01  -8.46446e+00   1.17890e+01   1.02667e+02
            33   9.10684e+01   3.30000e+01  -8.33974e+00   1.17890e+01   1.02750e+02
            34   9.12533e+01   3.40000e+01  -8.21507e+00   1.17890e+01   1.02833e+02
            35   9.14434e+01   3.50000e+01  -8.09431e+00   1.17890e+01   1.02917e+02
            36   9.16236e+01   3.60000e+01  -7.99879e+00   1.17890e+01   1.03000e+02
            37   9.17979e+01   3.70000e+01  -7.89216e+00   1.17890e+01   1.03083e+02
            38   9.19876e+01   3.80000e+01  -7.78500e+00   1.17890e+01   1.03167e+02
            39   9.21689e+01   3.90000e+01  -7.68700e+00   1.17890e+01   1.03250e+02
            40   9.23560e+01   4.00000e+01  -7.63356e+00   1.17890e+01   1.03333e+02
            41   9.25269e+01   4.10000e+01  -7.55749e+00   1.17890e+01   1.03417e+02
            42   9.26866e+01   4.20000e+01  -7.47995e+00   1.17890e+01   1.03500e+02
            43   9.28708e+01   4.30000e+01  -7.40391e+00   1.17890e+01   1.03583e+02
            44   9.30359e+01   4.40000e+01  -7.36120e+00   1.17890e+01   1.03667e+02
            45   9.32080e+01   4.50000e+01  -7.30258e+00   1.17890e+01   1.03750e+02
            46   9.33688e+01   4.60000e+01  -7.24310e+00   1.17890e+01   1.03833e+02
            47   9.35492e+01   4.70000e+01  -7.18578e+00   1.17890e+01   1.03917e+02
            48   9.37072e+01   4.80000e+01  -7.15007e+00   1.17890e+01   1.04000e+02
            49   9.38608e+01   4.90000e+01  -7.10600e+00   1.17890e+01   1.04083e+02
            50   9.40389e+01   5.00000e+01  -7.06116e+00   1.17890e+01   1.04167e+02
            51   9.41827e+01   5.10000e+01  -7.01677e+00   1.17890e+01   1.04250e+02
            52   9.43409e+01   5.20000e+01  -6.99272e+00   1.17890e+01   1.04333e+02
            53   9.45033e+01   5.30000e+01  -6.96098e+00   1.17890e+01   1.04417e+02
            54   9.46623e+01   5.40000e+01  -6.92948e+00   1.17890e+01   1.04500e+02
            55   9.48278e+01   5.50000e+01  -6.89862e+00   1.17890e+01   1.04583e+02
            56   9.49806e+01   5.60000e+01  -6.88225e+00   1.17890e+01   1.04667e+02
            57   9.51455e+01   5.70000e+01  -6.85857e+00   1.17890e+01   1.04750e+02
            58   9.52917e+01   5.80000e+01  -6.83509e+00   1.17890e+01   1.04833e+02
            59   9.54401e+01   5.90000e+01  -6.81357e+00   1.17890e+01   1.04917e+02
            60   9.55855e+01   6.00000e+01  -6.80504e+00   1.17890e+01   1.05000e+02
            61   9.57396e+01   6.10000e+01  -6.79089e+00   1.17890e+01   1.05083e+02
            62   9.58912e+01   6.20000e+01  -6.77498e+00   1.17890e+01   1.05167e+02
            63   9.60327e+01   6.30000e+01  -6.75930e+00   1.17890e+01   1.05250e+02
            64   9.61858e+01   6.40000e+01  -6.75499e+00   1.17890e+01   1.05333e+02
            65   9.63221e+01   6.50000e+01  -6.74777e+00   1.17890e+01   1.05417e+02
            66   9.64843e+01   6.60000e+01  -6.74013e+00   1.17890e+01   1.05500e+02
            67   9.66168e+01   6.70000e+01  -6.73190e+00   1.17890e+01   1.05583e+02
            68   9.67672e+01   6.80000e+01  -6.73155e+00   1.17890e+01   1.05667e+02
            69   9.69099e+01   6.90000e+01  -6.72796e+00   1.17890e+01   1.05750e+02
            70   9.70485e+01   7.00000e+01  -6.72315e+00   1.17890e+01   1.05833e+02
            71   9.72044e+01   7.10000e+01  -6.71800e+00   1.17890e+01   1.05917e+02
            72   9.73386e+01   7.20000e+01  -6.71945e+00   1.17890e+01   1.06000e+02
            73   9.74775e+01   7.30000e+01  -6.72022e+00   1.17890e+01   1.06083e+02
            74   9.76213e+01   7.40000e+01  -6.72093e+00   1.17890e+01   1.06167e+02
            75   9.77662e+01   7.50000e+01  -6.72295e+00   1.17890e+01   1.06250e+02
            76   9.79101e+01   7.60000e+01  -6.72805e+00   1.17890e+01   1.06333e+02
            77   9.80416e+01   7.70000e+01  -6.73322e+00   1.17890e+01   1.06417e+02
            78   9.81895e+01   7.80000e+01  -6.74005e+00   1.17890e+01   1.06500e+02
            79   9.83157e+01   7.90000e+01  -6.74783e+00   1.17890e+01   1.06583e+02
            80   9.84502e+01   8.00000e+01  -6.75974e+00   1.17890e+01   1.06667e+02
            81   9.85869e+01   8.10000e+01  -6.76723e+00   1.17890e+01   1.06750e+02
            82   9.87268e+01   8.20000e+01  -6.77564e+00   1.17890e+01   1.06833e+02
            83   9.88503e+01   8.30000e+01  -6.78514e+00   1.17890e+01   1.06917e+02
            84   9.89895e+01   8.40000e+01  -6.80138e+00   1.17890e+01   1.07000e+02
            85   9.91149e+01   8.50000e+01  -6.81413e+00   1.17890e+01   1.07083e+02
            86   9.92484e+01   8.60000e+01  -6.82608e+00   1.17890e+01   1.07167e+02
            87   9.93792e+01   8.70000e+01  -6.83798e+00   1.17890e+01   1.07250e+02
            88   9.95171e+01   8.80000e+01  -6.85008e+00   1.17890e+01   1.07333e+02
            89   9.96531e+01   8.90000e+01  -6.86319e+00   1.17890e+01   1.07417e+02
            90   9.97917e+01   9.00000e+01  -6.87708e+00   1.17890e+01   1.07500e+02
            91   9.99094e+01   9.10000e+01  -6.89107e+00   1.17890e+01   1.07583e+02
            92   1.00042e+02   9.20000e+01  -6.90789e+00   1.17890e+01   1.07667e+02
            93   1.00180e+02   9.30000e+01  -6.92290e+00   1.17890e+01   1.07750e+02
            94   1.00310e+02   9.40000e+01  -6.93751e+00   1.17890e+01   1.07833e+02
            95   1.00435e+02   9.50000e+01  -6.95005e+00   1.17890e+01   1.07917e+02
            96   1.00573e+02   9.60000e+01  -6.96428e+00   1.17890e+01   1.08000e+02
            97   1.00681e+02   9.70000e+01  -6.97727e+00   1.17890e+01   1.08083e+02
            98   1.00830e+02   9.80000e+01  -6.99104e+00   1.17890e+01   1.08167e+02
            99   1.00956e+02   9.90000e+01  -7.00595e+00   1.17890e+01   1.08250e+02
           100   1.01081e+02   1.00000e+02  -7.02046e+00   1.17890e+01   1.08333e+02
           101   1.01209e+02   1.01000e+02  -7.03528e+00   1.17890e+01   1.08417e+02
           102   1.01328e+02   1.02000e+02  -7.05032e+00   1.17890e+01   1.08500e+02
           103   1.01458e+02   1.03000e+02  -7.06465e+00   1.17890e+01   1.08583e+02
           104   1.01590e+02   1.04000e+02  -7.07772e+00   1.17890e+01   1.08667e+02
           105   1.01710e+02   1.05000e+02  -7.09212e+00   1.17891e+01   1.08750e+02
           106   1.01835e+02   1.06000e+02  -7.10630e+00   1.17892e+01   1.08833e+02
           107   1.01952e+02   1.07000e+02  -7.12166e+00   1.17893e+01   1.08917e+02
           108   1.02076e+02   1.08000e+02  -7.13920e+00   1.17895e+01   1.09000e+02
           109   1.02202e+02   1.09000e+02  -7.15433e+00   1.17896e+01   1.09083e+02
           110   1.02327e+02   1.10000e+02  -7.16789e+00   1.17897e+01   1.09167e+02
           111   1.02460e+02   1.11000e+02  -7.18113e+00   1.17898e+01   1.09250e+02
           112   1.02570e+02   1.12000e+02  -7.19448e+00   1.17899e+01   1.09333e+02
           113   1.02702e+02   1.13000e+02  -7.20705e+00   1.17899e+01   1.09417e+02
           114   1.02820e+02   1.14000e+02  -7.21967e+00   1.17899e+01   1.09500e+02
           115   1.02940e+02   1.15000e+02  -7.23285e+00   1.17900e+01   1.09583e+02
           116   1.03058e+02   1.16000e+02  -7.24627e+00   1.17900e+01   1.09667e+02
           117   1.03191e+02   1.17000e+02  -7.26038e+00   1.17900e+01   1.09750e+02
           118   1.03303e+02   1.18000e+02  -7.27428e+00   1.17900e+01   1.09833e+02
           119   1.03425e+02   1.19000e+02  -7.28930e+00   1.17900e+01   1.09917e+02
           120   1.03547e+02   1.20000e+02  -7.30128e+00   1.17900e+01   1.10000e+02
           121   1.03659e+02   1.21000e+02  -7.31448e+00   1.17900e+01   1.10083e+02
           122   1.03781e+02   1.22000e+02  -7.32744e+00   1.17900e+01   1.10167e+02
           123   1.03907e+02   1.23000e+02  -7.34159e+00   1.17900e+01   1.10250e+02
           124   1.04024e+02   1.24000e+02  -7.35843e+00   1.17900e+01   1.10333e+02
           125   1.04139e+02   1.25000e+02  -7.37456e+00   1.17900e+01   1.10417e+02
           126   1.04262e+02   1.26000e+02  -7.38923e+00   1.17900e+01   1.10500e+02
           127   1.04378e+02   1.27000e+02  -7.40374e+00   1.17900e+01   1.10583e+02
           128   1.04505e+02   1.28000e+02  -7.41886e+00   1.17900e+01   1.10667e+02
           129   1.04615e+02   1.29000e+02  -7.43277e+00   1.17900e+01   1.10750e+02
           130   1.04711e+02   1.30000e+02  -7.44652e+00   1.17900e+01   1.10833e+02
           131   1.04830e+02   1.31000e+02  -7.46030e+00   1.17900e+01   1.10917e+02
           132   1.04960e+02   1.32000e+02  -7.47231e+00   1.17900e+01   1.11000e+02
           133   1.05078e+02   1.33000e+02  -7.48368e+00   1.17900e+01   1.11083e+02
           134   1.05192e+02   1.34000e+02  -7.49478e+00   1.17900e+01   1.11167e+02
           135   1.05312e+02   1.35000e+02  -7.50723e+00   1.17900e+01   1.11250e+02
           136   1.05434e+02   1.36000e+02  -7.51645e+00   1.17900e+01   1.11333e+02
           137   1.05536e+02   1.37000e+02  -7.52822e+00   1.17900e+01   1.11417e+02
           138   1.05644e+02   1.38000e+02  -7.53981e+00   1.17900e+01   1.11500e+02
           139   1.05759e+02   1.39000e+02  -7.55244e+00   1.17900e+01   1.11583e+02
           140   1.05885e+02   1.40000e+02  -7.56275e+00   1.17900e+01   1.11667e+02
           141   1.06010e+02   1.41000e+02  -7.57454e+00   1.17900e+01   1.11750e+02
           142   1.06124e+02   1.42000e+02  -7.58752e+00   1.17900e+01   1.11833e+02
           143   1.06227e+02   1.43000e+02  -7.60049e+00   1.17900e+01   1.11917e+02
           144   1.06344e+02   1.44000e+02  -7.61686e+00   1.17900e+01   1.12000e+02
           145   1.06457e+02   1.45000e+02  -7.62951e+00   1.17900e+01   1.12083e+02
           146   1.06558e+02   1.46000e+02  -7.64174e+00   1.17900e+01   1.12167e+02
           147   1.06678e+02   1.47000e+02  -7.65398e+00   1.17900e+01   1.12250e+02
           148   1.06799e+02   1.48000e+02  -7.66516e+00   1.17900e+01   1.12333e+02
           149   1.06908e+02   1.49000e+02  -7.67838e+00   1.17900e+01   1.12417e+02
           150   1.07024e+02   1.50000e+02  -7.69354e+00   1.17900e+01   1.12500e+02
           151   1.07141e+02   1.51000e+02  -7.70833e+00   1.17900e+01   1.12583e+02
           152   1.07249e+02   1.52000e+02  -7.71880e+00   1.17900e+01   1.12667e+02
           153   1.07360e+02   1.53000e+02  -7.73079e+00   1.17900e+01   1.12750e+02
           154   1.07461e+02   1.54000e+02  -7.74356e+00   1.17900e+01   1.12833e+02
           155   1.07568e+02   1.55000e+02  -7.75593e+00   1.17900e+01   1.12917e+02
           156   1.07690e+02   1.56000e+02  -7.76869e+00   1.17900e+01   1.13000e+02
           157   1.07789e+02   1.57000e+02  -7.78086e+00   1.17899e+01   1.13083e+02
           158   1.07901e+02   1.58000e+02  -7.79348e+00   1.17898e+01   1.13167e+02
           159   1.08003e+02   1.59000e+02  -7.80575e+00   1.17897e+01   1.13250e+02
           160   1.08114e+02   1.60000e+02  -7.81712e+00   1.17895e+01   1.13333e+02
           161   1.08236e+02   1.61000e+02  -7.82867e+00   1.17894e+01   1.13417e+02
           162   1.08349e+02   1.62000e+02  -7.84031e+00   1.17893e+01   1.13500e+02
           163   1.08456e+02   1.63000e+02  -7.85284e+00   1.17892e+01   1.13583e+02
           164   1.08572e+02   1.64000e+02  -7.86623e+00   1.17891e+01   1.13667e+02
           165   1.08687e+02   1.65000e+02  -7.87925e+00   1.17891e+01   1.13750e+02
           166   1.08790e+02   1.66000e+02  -7.89186e+00   1.17891e+01   1.13833e+02
           167   1.08893e+02   1.67000e+02  -7.90500e+00   1.17890e+01   1.13917e+02
           168   1.09007e+02   1.68000e+02  -7.91772e+00   1.17890e+01   1.14000e+02
           169   1.09122e+02   1.69000e+02  -7.92940e+00   1.17890e+01   1.14083e+02
           170   1.09223e+02   1.70000e+02  -7.94186e+00   1.17890e+01   1.14167e+02
           171   1.09318e+02   1.71000e+02  -7.95435e+00   1.17890e+01   1.14250e+02
           172   1.09432e+02   1.72000e+02  -7.96722e+00   1.17890e+01   1.14333e+02
           173   1.09528e+02   1.73000e+02  -7.97913e+00   1.17890e+01   1.14417e+02
           174   1.09644e+02   1.74000e+02  -7.99054e+00   1.17890e+01   1.14500e+02
           175   1.09753e+02   1.75000e+02  -8.00178e+00   1.17890e+01   1.14583e+02
           176   1.09851e+02   1.76000e+02  -8.01148e+00   1.17890e+01   1.14667e+02
           177   1.09967e+02   1.77000e+02  -8.02226e+00   1.17890e+01   1.14750e+02
           178   1.10079e+02   1.78000e+02  -8.03258e+00   1.17890e+01   1.14833e+02
           179   1.10179e+02   1.79000e+02  -8.04315e+00   1.17890e+01   1.14917e+02
           180   1.10282e+02   1.80000e+02  -8.05245e+00   1.17890e+01   1.15000e+02
           181   1.10395e+02   1.81000e+02  -8.06282e+00   1.17890e+01   1.15083e+02
           182   1.10503e+02   1.82000e+02  -8.07430e+00   1.17890e+01   1.15167e+02
           183   1.10598e+02   1.83000e+02  -8.08535e+00   1.17889e+01   1.15250e+02
           184   1.10707e+02   1.84000e+02  -8.09756e+00   1.17888e+01   1.15333e+02
           185   1.10814e+02   1.85000e+02  -8.10826e+00   1.17887e+01   1.15417e+02
           186   1.10931e+02   1.86000e+02  -8.11901e+00   1.17885e+01   1.15500e+02
           187   1.11028e+02   1.87000e+02  -8.12977e+00   1.17884e+01   1.15583e+02
           188   1.11141e+02   1.88000e+02  -8.13990e+00   1.17883e+01   1.15667e+02
           189   1.11249e+02   1.89000e+02  -8.15080e+00   1.17882e+01   1.15750e+02
           190   1.11347e+02   1.90000e+02  -8.16242e+00   1.17881e+01   1.15833e+02
           191   1.11465e+02   1.91000e+02  -8.17408e+00   1.17880e+01   1.15917e+02
           192   1.11559e+02   1.92000e+02  -8.18762e+00   1.17881e+01   1.16000e+02
           193   1.11664e+02   1.93000e+02  -8.20104e+00   1.17880e+01   1.16083e+02
           194   1.11773e+02   1.94000e+02  -8.21395e+00   1.17880e+01   1.16167e+02
           195   1.11870e+02   1.95000e+02  -8.22724e+00   1.17880e+01   1.16250e+02
           196   1.11980e+02   1.96000e+02  -8.24031e+00   1.17880e+01   1.16333e+02
           197   1.12087e+02   1.97000e+02  -8.25352e+00   1.17880e+01   1.16417e+02
           198   1.12186e+02   1.98000e+02  -8.26661e+00   1.17880e+01   1.16500e+02
           199   1.12285e+02   1.99000e+02  -8.28070e+00   1.17880e+01   1.16583e+02
           200   1.12385e+02   2.00000e+02  -8.29645e+00   1.17880e+01   1.16667e+02
           201   1.12480e+02   2.01000e+02  -8.30952e+00   1.17880e+01   1.16750e+02
           202   1.12597e+02   2.02000e+02  -8.32121e+00   1.17880e+01   1.16833e+02
           203   1.12707e+02   2.03000e+02  -8.33200e+00   1.17880e+01   1.16917e+02
           204   1.12786e+02   2.04000e+02  -8.34514e+00   1.17880e+01   1.17000e+02
           205   1.12897e+02   2.05000e+02  -8.35724e+00   1.17880e+01   1.17083e+02
           206   1.12988e+02   2.06000e+02  -8.36795e+00   1.17880e+01   1.17167e+02
           207   1.13096e+02   2.07000e+02  -8.37649e+00   1.17880e+01   1.17250e+02
           208   1.13202e+02   2.08000e+02  -8.38526e+00   1.17880e+01   1.17333e+02
           209   1.13308e+02   2.09000e+02  -8.39531e+00   1.17880e+01   1.17417e+02
           210   1.13414e+02   2.10000e+02  -8.40651e+00   1.17880e+01   1.17500e+02
           211   1.13510e+02   2.11000e+02  -8.41817e+00   1.17880e+01   1.17583e+02
           212   1.13627e+02   2.12000e+02  -8.42522e+00   1.17880e+01   1.17667e+02
           213   1.13719e+02   2.13000e+02  -8.43398e+00   1.17880e+01   1.17750e+02
           214   1.13823e+02   2.14000e+02  -8.44372e+00   1.17880e+01   1.17833e+02
           215   1.13927e+02   2.15000e+02  -8.45351e+00   1.17880e+01   1.17917e+02
           216   1.14034e+02   2.16000e+02  -8.46285e+00   1.17880e+01   1.18000e+02
           217   1.14123e+02   2.17000e+02  -8.47290e+00   1.17880e+01   1.18083e+02
           218   1.14223e+02   2.18000e+02  -8.48389e+00   1.17880e+01   1.18167e+02
           219   1.14322e+02   2.19000e+02  -8.49536e+00   1.17880e+01   1.18250e+02
           220   1.14425e+02   2.20000e+02  -8.51227e+00   1.17880e+01   1.18333e+02
           221   1.14529e+02   2.21000e+02  -8.52558e+00   1.17880e+01   1.18417e+02
           222   1.14642e+02   2.22000e+02  -8.53752e+00   1.17880e+01   1.18500e+02
           223   1.14733e+02   2.23000e+02  -8.54843e+00   1.17880e+01   1.18583e+02
           224   1.14835e+02   2.24000e+02  -8.56273e+00   1.17880e+01   1.18667e+02
           225   1.14923e+02   2.25000e+02  -8.57675e+00   1.17880e+01   1.18750e+02
           226   1.15033e+02   2.26000e+02  -8.58957e+00   1.17879e+01   1.18833e+02
           227   1.15128e+02   2.27000e+02  -8.60085e+00   1.17878e+01   1.18917e+02
           228   1.15227e+02   2.28000e+02  -8.61596e+00   1.17876e+01   1.19000e+02
           229   1.15311e+02   2.29000e+02  -8.62911e+00   1.17875e+01   1.19083e+02
           230   1.15426e+02   2.30000e+02  -8.64142e+00   1.17874e+01   1.19167e+02
           231   1.15531e+02   2.31000e+02  -8.65502e+00   1.17873e+01   1.19250e+02
           232   1.15617e+02   2.32000e+02  -8.66642e+00   1.17872e+01   1.19333e+02
           233   1.15720e+02   2.33000e+02  -8.67844e+00   1.17871e+01   1.19417e+02
           234   1.15820e+02   2.34000e+02  -8.68979e+00   1.17871e+01   1.19500e+02
           235   1.15918e+02   2.35000e+02  -8.70155e+00   1.17870e+01   1.19583e+02
           236   1.16021e+02   2.36000e+02  -8.71223e+00   1.17870e+01   1.19667e+02
           237   1.16129e+02   2.37000e+02  -8.72280e+00   1.17870e+01   1.19750e+02
           238   1.16225e+02   2.38000e+02  -8.73382e+00   1.17870e+01   1.19833e+02
           239   1.16316e+02   2.39000e+02  -8.74603e+00   1.17870e+01   1.19917e+02
           240   1.16408e+02   2.40000e+02  -8.75833e+00   1.17870e+01   1.20000e+02
           241   1.16499e+02   2.41000e+02  -8.77012e+00   1.17870e+01   1.20083e+02
           242   1.16614e+02   2.42000e+02  -8.78239e+00   1.17870e+01   1.20167e+02
           243   1.16715e+02   2.43000e+02  -8.79511e+00   1.17870e+01   1.20250e+02
           244   1.16808e+02   2.44000e+02  -8.80587e+00   1.17869e+01   1.20333e+02
           245   1.16897e+02   2.45000e+02  -8.81787e+00   1.17868e+01   1.20417e+02
           246   1.17010e+02   2.46000e+02  -8.83002e+00   1.17867e+01   1.20500e+02
           247   1.17098e+02   2.47000e+02  -8.84221e+00   1.17866e+01   1.20583e+02
           248   1.17203e+02   2.48000e+02  -8.85752e+00   1.17864e+01   1.20667e+02
           249   1.17299e+02   2.49000e+02  -8.87078e+00   1.17862e+01   1.20750e+02
           250   1.17404e+02   2.50000e+02  -8.88389e+00   1.17861e+01   1.20833e+02
           251   1.17496e+02   2.51000e+02  -8.89693e+00   1.17861e+01   1.20917e+02
           252   1.17588e+02   2.52000e+02  -8.90765e+00   1.17861e+01   1.21000e+02
           253   1.17683e+02   2.53000e+02  -8.91759e+00   1.17860e+01   1.21083e+02
           254   1.17797e+02   2.54000e+02  -8.92860e+00   1.17860e+01   1.21167e+02
           255   1.17899e+02   2.55000e+02  -8.94032e+00   1.17860e+01   1.21250e+02
           256   1.17992e+02   2.56000e+02  -8.95062e+00   1.17860e+01   1.21333e+02
           257   1.18089e+02   2.57000e+02  -8.96274e+00   1.17860e+01   1.21417e+02
           258   1.18185e+02   2.58000e+02  -8.97522e+00   1.17860e+01   1.21500e+02
           259   1.18286e+02   2.59000e+02  -8.98834e+00   1.17860e+01   1.21583e+02
           260   1.18384e+02   2.60000e+02  -9.00072e+00   1.17860e+01   1.21667e+02
           261   1.18477e+02   2.61000e+02  -9.01381e+00   1.17860e+01   1.21750e+02
           262   1.18579e+02   2.62000e+02  -9.02693e+00   1.17860e+01   1.21833e+02
           263   1.18659e+02   2.63000e+02  -9.04006e+00   1.17860e+01   1.21917e+02
           264   1.18750e+02   2.64000e+02  -9.05684e+00   1.17860e+01   1.22000e+02
           265   1.18856e+02   2.65000e+02  -9.07043e+00   1.17860e+01   1.22083e+02
           266   1.18938e+02   2.66000e+02  -9.08370e+00   1.17860e+01   1.22167e+02
           267   1.19036e+02   2.67000e+02  -9.09672e+00   1.17860e+01   1.22250e+02
           268   1.19141e+02   2.68000e+02  -9.11153e+00   1.17860e+01   1.22333e+02
           269   1.19238e+02   2.69000e+02  -9.12460e+00   1.17860e+01   1.22417e+02
           270   1.19336e+02   2.70000e+02  -9.13599e+00   1.17860e+01   1.22500e+02
           271   1.19429e+02   2.71000e+02  -9.14745e+00   1.17860e+01   1.22583e+02
           272   1.19516e+02   2.72000e+02  -9.15594e+00   1.17860e+01   1.22667e+02
           273   1.19612e+02   2.73000e+02  -9.16759e+00   1.17860e+01   1.22750e+02
           274   1.19718e+02   2.74000e+02  -9.17995e+00   1.17860e+01   1.22833e+02
           275   1.19818e+02   2.75000e+02  -9.19214e+00   1.17860e+01   1.22917e+02
           276   1.19899e+02   2.76000e+02  -9.20362e+00   1.17859e+01   1.23000e+02
           277   1.20010e+02   2.77000e+02  -9.21557e+00   1.17858e+01   1.23083e+02
           278   1.20090e+02   2.78000e+02  -9.22717e+00   1.17857e+01   1.23167e+02
           279   1.20203e+02   2.79000e+02  -9.23786e+00   1.17856e+01   1.23250e+02
           280   1.20288e+02   2.80000e+02  -9.25101e+00   1.17854e+01   1.23333e+02
           281   1.20385e+02   2.81000e+02  -9.26429e+00   1.17852e+01   1.23417e+02
           282   1.20472e+02   2.82000e+02  -9.27697e+00   1.17851e+01   1.23500e+02
           283   1.20582e+02   2.83000e+02  -9.28988e+00   1.17851e+01   1.23583e+02
           284   1.20678e+02   2.84000e+02  -9.30351e+00   1.17851e+01   1.23667e+02
           285   1.20780e+02   2.85000e+02  -9.31599e+00   1.17850e+01   1.23750e+02
           286   1.20866e+02   2.86000e+02  -9.32760e+00   1.17850e+01   1.23833e+02
           287   1.20959e+02   2.87000e+02  -9.33911e+00   1.17850e+01   1.23917e+02
           288   1.21046e+02   2.88000e+02  -9.35171e+00   1.17850e+01   1.24000e+02
           289   1.21145e+02   2.89000e+02  -9.36484e+00   1.17850e+01   1.24083e+02
           290   1.21230e+02   2.90000e+02  -9.37813e+00   1.17850e+01   1.24167e+02
           291   1.21322e+02   2.91000e+02  -9.39164e+00   1.17850e+01   1.24250e+02
           292   1.21419e+02   2.92000e+02  -9.40338e+00   1.17850e+01   1.24333e+02
           293   1.21515e+02   2.93000e+02  -9.41577e+00   1.17850e+01   1.24417e+02
           294   1.21606e+02   2.94000e+02  -9.42805e+00   1.17850e+01   1.24500e+02
           295   1.21712e+02   2.95000e+02  -9.43948e+00   1.17850e+01   1.24583e+02
           296   1.21797e+02   2.96000e+02  -9.45414e+00   1.17850e+01   1.24667e+02
           297   1.21886e+02   2.97000e+02  -9.46757e+00   1.17850e+01   1.24750e+02
           298   1.21989e+02   2.98000e+02  -9.48096e+00   1.17850e+01   1.24833e+02
           299   1.22084e+02   2.99000e+02  -9.49439e+00   1.17850e+01   1.24917e+02
           300   1.22185e+02   3.00000e+02  -9.50961e+00   1.17850e+01   1.25000e+02
           301   1.22279e+02   3.01000e+02  -9.52351e+00   1.17850e+01   1.25083e+02
           302   1.22362e+02   3.02000e+02  -9.53731e+00   1.17850e+01   1.25167e+02
           303   1.22470e+02   3.03000e+02  -9.55128e+00   1.17850e+01   1.25250e+02
           304   1.22546e+02   3.04000e+02  -9.56527e+00   1.17850e+01   1.25333e+02
           305   1.22645e+02   3.05000e+02  -9.57904e+00   1.17850e+01   1.25417e+02
           306   1.22731e+02   3.06000e+02  -9.59366e+00   1.17850e+01   1.25500e+02
           307   1.22834e+02   3.07000e+02  -9.60827e+00   1.17849e+01   1.25583e+02
           308   1.22940e+02   3.08000e+02  -9.62325e+00   1.17848e+01   1.25667e+02
           309   1.23017e+02   3.09000e+02  -9.63828e+00   1.17847e+01   1.25750e+02
           310   1.23121e+02   3.10000e+02  -9.65320e+00   1.17845e+01   1.25833e+02
           311   1.23205e+02   3.11000e+02  -9.66813e+00   1.17844e+01   1.25917e+02
           312   1.23306e+02   3.12000e+02  -9.68240e+00   1.17843e+01   1.26000e+02
           313   1.23389e+02   3.13000e+02  -9.69725e+00   1.17842e+01   1.26083e+02
           314   1.23484e+02   3.14000e+02  -9.71159e+00   1.17841e+01   1.26167e+02
           315   1.23583e+02   3.15000e+02  -9.72483e+00   1.17840e+01   1.26250e+02
           316   1.23675e+02   3.16000e+02  -9.73804e+00   1.17841e+01   1.26333e+02
