         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.24227e+01   0.00000e+00  -1.53207e+01   6.55519e+00   1.00000e+02
             1   8.25563e+01   1.00000e+00  -1.46332e+01   6.55535e+00   1.00083e+02
             2   8.26959e+01   2.00000e+00  -1.38684e+01   6.55559e+00   1.00167e+02
             3   8.28529e+01   3.00000e+00  -1.30940e+01   6.55589e+00   1.00250e+02
             4   8.30156e+01   4.00000e+00  -1.23663e+01   6.55661e+00   1.00333e+02
             5   8.32113e+01   5.00000e+00  -1.17309e+01   6.55746e+00   1.00417e+02
             6   8.34152e+01   6.00000e+00  -1.11977e+01   6.55844e+00   1.00500e+02
             7   8.36097e+01   7.00000e+00  -1.06849e+01   6.55954e+00   1.00583e+02
             8   8.38136e+01   8.00000e+00  -1.02762e+01   6.56137e+00   1.00667e+02
             9   8.40255e+01   9.00000e+00  -9.89234e+00   6.56303e+00   1.00750e+02
            10   8.42235e+01   1.00000e+01  -9.55052e+00   6.56469e+00   1.00833e+02
            11   8.44426e+01   1.10000e+01  -9.21350e+00   6.56639e+00   1.00917e+02
            12   8.46497e+01   1.20000e+01  -8.94601e+00   6.56830e+00   1.01000e+02
            13   8.48532e+01   1.30000e+01  -8.68175e+00   6.56997e+00   1.01083e+02
            14   8.50658e+01   1.40000e+01  -8.43904e+00   6.57154e+00   1.01167e+02
            15   8.52745e+01   1.50000e+01  -8.19690e+00   6.57304e+00   1.01250e+02
            16   8.54852e+01   1.60000e+01  -8.01154e+00   6.57413e+00   1.01333e+02
            17   8.56996e+01   1.70000e+01  -7.80023e+00   6.57525e+00   1.01417e+02
            18   8.59061e+01   1.80000e+01  -7.61088e+00   6.57623e+00   1.01500e+02
            19   8.61010e+01   1.90000e+01  -7.44007e+00   6.57712e+00   1.01583e+02
            20   8.63020e+01   2.00000e+01  -7.30515e+00   6.57747e+00   1.01667e+02
            21   8.65108e+01   2.10000e+01  -7.15180e+00   6.57794e+00   1.01750e+02
            22   8.67018e+01   2.20000e+01  -6.99666e+00   6.57834e+00   1.01833e+02
            23   8.69130e+01   2.30000e+01  -6.83513e+00   6.57868e+00   1.01917e+02
            24   8.71175e+01   2.40000e+01  -6.73868e+00   6.57866e+00   1.02000e+02
            25   8.73104e+01   2.50000e+01  -6.62299e+00   6.57877e+00   1.02083e+02
            26   8.75058e+01   2.60000e+01  -6.50396e+00   6.57888e+00   1.02167e+02
            27   8.77039e+01   2.70000e+01  -6.37694e+00   6.57896e+00   1.02250e+02
            28   8.78789e+01   2.80000e+01  -6.32010e+00   6.57894e+00   1.02333e+02
            29   8.80850e+01   2.90000e+01  -6.23665e+00   6.57896e+00   1.02417e+02
            30   8.82769e+01   3.00000e+01  -6.14826e+00   6.57898e+00   1.02500e+02
            31   8.84595e+01   3.10000e+01  -6.05361e+00   6.57900e+00   1.02583e+02
            32   8.86326e+01   3.20000e+01  -6.01158e+00   6.57896e+00   1.02667e+02
            33   8.88166e+01   3.30000e+01  -5.95104e+00   6.57887e+00   1.02750e+02
            34   8.90105e+01   3.40000e+01  -5.89232e+00   6.57877e+00   1.02833e+02
            35   8.91836e+01   3.50000e+01  -5.83583e+00   6.57867e+00   1.02917e+02
            36   8.93625e+01   3.60000e+01  -5.82390e+00   6.57850e+00   1.03000e+02
            37   8.95271e+01   3.70000e+01  -5.78636e+00   6.57838e+00   1.03083e+02
            38   8.97077e+01   3.80000e+01  -5.74558e+00   6.57828e+00   1.03167e+02
            39   8.98899e+01   3.90000e+01  -5.70678e+00   6.57818e+00   1.03250e+02
            40   9.00621e+01   4.00000e+01  -5.68792e+00   6.57814e+00   1.03333e+02
            41   9.02094e+01   4.10000e+01  -5.66154e+00   6.57809e+00   1.03417e+02
            42   9.04002e+01   4.20000e+01  -5.63525e+00   6.57805e+00   1.03500e+02
            43   9.05514e+01   4.30000e+01  -5.61128e+00   6.57802e+00   1.03583e+02
            44   9.07173e+01   4.40000e+01  -5.60491e+00   6.57803e+00   1.03667e+02
            45   9.08869e+01   4.50000e+01  -5.59103e+00   6.57802e+00   1.03750e+02
            46   9.10420e+01   4.60000e+01  -5.57694e+00   6.57801e+00   1.03833e+02
            47   9.12081e+01   4.70000e+01  -5.56316e+00   6.57800e+00   1.03917e+02
            48   9.13567e+01   4.80000e+01  -5.56434e+00   6.57800e+00   1.04000e+02
            49   9.15177e+01   4.90000e+01  -5.55914e+00   6.57800e+00   1.04083e+02
            50   9.16769e+01   5.00000e+01  -5.55439e+00   6.57800e+00   1.04167e+02
            51   9.18372e+01   5.10000e+01  -5.55149e+00   6.57800e+00   1.04250e+02
            52   9.19937e+01   5.20000e+01  -5.56125e+00   6.57811e+00   1.04333e+02
            53   9.21510e+01   5.30000e+01  -5.56661e+00   6.57822e+00   1.04417e+02
            54   9.22955e+01   5.40000e+01  -5.57163e+00   6.57833e+00   1.04500e+02
            55   9.24562e+01   5.50000e+01  -5.57614e+00   6.57844e+00   1.04583e+02
            56   9.25947e+01   5.60000e+01  -5.59267e+00   6.57864e+00   1.04667e+02
            57   9.27560e+01   5.70000e+01  -5.60355e+00   6.57877e+00   1.04750e+02
            58   9.28939e+01   5.80000e+01  -5.61255e+00   6.57886e+00   1.04833e+02
            59   9.30362e+01   5.90000e+01  -5.62288e+00   6.57894e+00   1.04917e+02
            60   9.31972e+01   6.00000e+01  -5.64812e+00   6.57893e+00   1.05000e+02
            61   9.33409e+01   6.10000e+01  -5.66632e+00   6.57895e+00   1.05083e+02
            62   9.34912e+01   6.20000e+01  -5.68193e+00   6.57897e+00   1.05167e+02
            63   9.36326e+01   6.30000e+01  -5.69646e+00   6.57899e+00   1.05250e+02
            64   9.37757e+01   6.40000e+01  -5.71578e+00   6.57899e+00   1.05333e+02
            65   9.39346e+01   6.50000e+01  -5.73533e+00   6.57899e+00   1.05417e+02
            66   9.40663e+01   6.60000e+01  -5.75555e+00   6.57900e+00   1.05500e+02
            67   9.42103e+01   6.70000e+01  -5.77654e+00   6.57900e+00   1.05583e+02
            68   9.43306e+01   6.80000e+01  -5.80232e+00   6.57900e+00   1.05667e+02
            69   9.44840e+01   6.90000e+01  -5.82540e+00   6.57900e+00   1.05750e+02
            70   9.46139e+01   7.00000e+01  -5.84873e+00   6.57900e+00   1.05833e+02
            71   9.47582e+01   7.10000e+01  -5.87270e+00   6.57900e+00   1.05917e+02
            72   9.49022e+01   7.20000e+01  -5.89779e+00   6.57900e+00   1.06000e+02
            73   9.50364e+01   7.30000e+01  -5.92181e+00   6.57900e+00   1.06083e+02
            74   9.51605e+01   7.40000e+01  -5.94542e+00   6.57900e+00   1.06167e+02
            75   9.53079e+01   7.50000e+01  -5.96912e+00   6.57900e+00   1.06250e+02
            76   9.54582e+01   7.60000e+01  -5.99813e+00   6.57900e+00   1.06333e+02
            77   9.55726e+01   7.70000e+01  -6.02532e+00   6.57900e+00   1.06417e+02
            78   9.57097e+01   7.80000e+01  -6.05206e+00   6.57900e+00   1.06500e+02
            79   9.58399e+01   7.90000e+01  -6.07891e+00   6.57900e+00   1.06583e+02
            80   9.59846e+01   8.00000e+01  -6.10566e+00   6.57900e+00   1.06667e+02
            81   9.61059e+01   8.10000e+01  -6.13215e+00   6.57900e+00   1.06750e+02
            82   9.62490e+01   8.20000e+01  -6.15802e+00   6.57900e+00   1.06833e+02
            83   9.63813e+01   8.30000e+01  -6.18419e+00   6.57900e+00   1.06917e+02
            84   9.65092e+01   8.40000e+01  -6.21293e+00   6.57900e+00   1.07000e+02
            85   9.66442e+01   8.50000e+01  -6.24057e+00   6.57900e+00   1.07083e+02
            86   9.67588e+01   8.60000e+01  -6.26823e+00   6.57900e+00   1.07167e+02
            87   9.69028e+01   8.70000e+01  -6.29550e+00   6.57900e+00   1.07250e+02
            88   9.70283e+01   8.80000e+01  -6.32123e+00   6.57900e+00   1.07333e+02
            89   9.71455e+01   8.90000e+01  -6.34661e+00   6.57900e+00   1.07417e+02
            90   9.72829e+01   9.00000e+01  -6.37191e+00   6.57900e+00   1.07500e+02
            91   9.74151e+01   9.10000e+01  -6.39745e+00   6.57900e+00   1.07583e+02
            92   9.75440e+01   9.20000e+01  -6.42320e+00   6.57900e+00   1.07667e+02
            93   9.76707e+01   9.30000e+01  -6.45005e+00   6.57900e+00   1.07750e+02
            94   9.77859e+01   9.40000e+01  -6.47647e+00   6.57900e+00   1.07833e+02
            95   9.79282e+01   9.50000e+01  -6.50214e+00   6.57900e+00   1.07917e+02
            96   9.80431e+01   9.60000e+01  -6.52652e+00   6.57900e+00   1.08000e+02
            97   9.81599e+01   9.70000e+01  -6.55126e+00   6.57900e+00   1.08083e+02
            98   9.82899e+01   9.80000e+01  -6.57585e+00   6.57900e+00   1.08167e+02
            99   9.84225e+01   9.90000e+01  -6.60170e+00   6.57900e+00   1.08250e+02
           100   9.85392e+01   1.00000e+02  -6.62673e+00   6.57900e+00   1.08333e+02
           101   9.86571e+01   1.01000e+02  -6.65148e+00   6.57900e+00   1.08417e+02
           102   9.87742e+01   1.02000e+02  -6.67617e+00   6.57900e+00   1.08500e+02
           103   9.89043e+01   1.03000e+02  -6.70086e+00   6.57900e+00   1.08583e+02
           104   9.90199e+01   1.04000e+02  -6.72277e+00   6.57900e+00   1.08667e+02
           105   9.91583e+01   1.05000e+02  -6.74613e+00   6.57900e+00   1.08750e+02
           106   9.92749e+01   1.06000e+02  -6.76986e+00   6.57900e+00   1.08833e+02
           107   9.94050e+01   1.07000e+02  -6.79386e+00   6.57900e+00   1.08917e+02
           108   9.95220e+01   1.08000e+02  -6.81667e+00   6.57900e+00   1.09000e+02
           109   9.96220e+01   1.09000e+02  -6.84032e+00   6.57900e+00   1.09083e+02
           110   9.97626e+01   1.10000e+02  -6.86396e+00   6.57900e+00   1.09167e+02
           111   9.98721e+01   1.11000e+02  -6.88739e+00   6.57900e+00   1.09250e+02
           112   1.00004e+02   1.12000e+02  -6.91099e+00   6.57900e+00   1.09333e+02
           113   1.00116e+02   1.13000e+02  -6.93425e+00   6.57900e+00   1.09417e+02
           114   1.00239e+02   1.14000e+02  -6.95688e+00   6.57900e+00   1.09500e+02
           115   1.00361e+02   1.15000e+02  -6.97869e+00   6.57900e+00   1.09583e+02
           116   1.00475e+02   1.16000e+02  -7.00089e+00   6.57900e+00   1.09667e+02
           117   1.00589e+02   1.17000e+02  -7.02256e+00   6.57900e+00   1.09750e+02
           118   1.00705e+02   1.18000e+02  -7.04366e+00   6.57900e+00   1.09833e+02
           119   1.00826e+02   1.19000e+02  -7.06446e+00   6.57900e+00   1.09917e+02
           120   1.00938e+02   1.20000e+02  -7.08074e+00   6.57900e+00   1.10000e+02
           121   1.01057e+02   1.21000e+02  -7.09887e+00   6.57900e+00   1.10083e+02
           122   1.01168e+02   1.22000e+02  -7.11802e+00   6.57900e+00   1.10167e+02
           123   1.01290e+02   1.23000e+02  -7.13747e+00   6.57900e+00   1.10250e+02
           124   1.01410e+02   1.24000e+02  -7.15148e+00   6.57900e+00   1.10333e+02
           125   1.01522e+02   1.25000e+02  -7.16911e+00   6.57900e+00   1.10417e+02
           126   1.01634e+02   1.26000e+02  -7.18753e+00   6.57900e+00   1.10500e+02
           127   1.01752e+02   1.27000e+02  -7.20625e+00   6.57900e+00   1.10583e+02
           128   1.01864e+02   1.28000e+02  -7.22636e+00   6.57900e+00   1.10667e+02
           129   1.01979e+02   1.29000e+02  -7.24577e+00   6.57900e+00   1.10750e+02
           130   1.02090e+02   1.30000e+02  -7.26304e+00   6.57900e+00   1.10833e+02
           131   1.02201e+02   1.31000e+02  -7.28092e+00   6.57900e+00   1.10917e+02
           132   1.02316e+02   1.32000e+02  -7.29973e+00   6.57900e+00   1.11000e+02
           133   1.02431e+02   1.33000e+02  -7.31804e+00   6.57900e+00   1.11083e+02
           134   1.02548e+02   1.34000e+02  -7.33618e+00   6.57900e+00   1.11167e+02
           135   1.02651e+02   1.35000e+02  -7.35486e+00   6.57900e+00   1.11250e+02
           136   1.02758e+02   1.36000e+02  -7.37284e+00   6.57900e+00   1.11333e+02
           137   1.02878e+02   1.37000e+02  -7.38844e+00   6.57900e+00   1.11417e+02
           138   1.02998e+02   1.38000e+02  -7.40470e+00   6.57900e+00   1.11500e+02
           139   1.03096e+02   1.39000e+02  -7.42154e+00   6.57900e+00   1.11583e+02
           140   1.03198e+02   1.40000e+02  -7.43632e+00   6.57900e+00   1.11667e+02
           141   1.03315e+02   1.41000e+02  -7.45239e+00   6.57900e+00   1.11750e+02
           142   1.03416e+02   1.42000e+02  -7.46882e+00   6.57900e+00   1.11833e+02
           143   1.03541e+02   1.43000e+02  -7.48502e+00   6.57900e+00   1.11917e+02
           144   1.03651e+02   1.44000e+02  -7.50310e+00   6.57900e+00   1.12000e+02
           145   1.03766e+02   1.45000e+02  -7.51994e+00   6.57900e+00   1.12083e+02
           146   1.03876e+02   1.46000e+02  -7.53642e+00   6.57900e+00   1.12167e+02
           147   1.03980e+02   1.47000e+02  -7.55258e+00   6.57900e+00   1.12250e+02
           148   1.04091e+02   1.48000e+02  -7.56961e+00   6.57900e+00   1.12333e+02
           149   1.04202e+02   1.49000e+02  -7.58525e+00   6.57900e+00   1.12417e+02
           150   1.04310e+02   1.50000e+02  -7.60027e+00   6.57900e+00   1.12500e+02
           151   1.04415e+02   1.51000e+02  -7.61592e+00   6.57900e+00   1.12583e+02
           152   1.04523e+02   1.52000e+02  -7.63051e+00   6.57900e+00   1.12667e+02
           153   1.04624e+02   1.53000e+02  -7.64613e+00   6.57900e+00   1.12750e+02
           154   1.04735e+02   1.54000e+02  -7.66122e+00   6.57900e+00   1.12833e+02
           155   1.04848e+02   1.55000e+02  -7.67540e+00   6.57900e+00   1.12917e+02
           156   1.04950e+02   1.56000e+02  -7.68641e+00   6.57900e+00   1.13000e+02
           157   1.05057e+02   1.57000e+02  -7.69975e+00   6.57900e+00   1.13083e+02
           158   1.05165e+02   1.58000e+02  -7.71451e+00   6.57900e+00   1.13167e+02
           159   1.05261e+02   1.59000e+02  -7.72984e+00   6.57900e+00   1.13250e+02
           160   1.05372e+02   1.60000e+02  -7.74539e+00   6.57900e+00   1.13333e+02
           161   1.05486e+02   1.61000e+02  -7.75869e+00   6.57900e+00   1.13417e+02
           162   1.05588e+02   1.62000e+02  -7.77132e+00   6.57900e+00   1.13500e+02
           163   1.05693e+02   1.63000e+02  -7.78431e+00   6.57900e+00   1.13583e+02
           164   1.05809e+02   1.64000e+02  -7.79713e+00   6.57900e+00   1.13667e+02
           165   1.05903e+02   1.65000e+02  -7.80980e+00   6.57900e+00   1.13750e+02
           166   1.06011e+02   1.66000e+02  -7.82245e+00   6.57900e+00   1.13833e+02
           167   1.06117e+02   1.67000e+02  -7.83615e+00   6.57900e+00   1.13917e+02
           168   1.06210e+02   1.68000e+02  -7.85119e+00   6.57900e+00   1.14000e+02
           169   1.06328e+02   1.69000e+02  -7.86604e+00   6.57900e+00   1.14083e+02
           170   1.06433e+02   1.70000e+02  -7.88053e+00   6.57900e+00   1.14167e+02
           171   1.06531e+02   1.71000e+02  -7.89462e+00   6.57900e+00   1.14250e+02
           172   1.06644e+02   1.72000e+02  -7.90749e+00   6.57900e+00   1.14333e+02
           173   1.06753e+02   1.73000e+02  -7.92110e+00   6.57900e+00   1.14417e+02
           174   1.06850e+02   1.74000e+02  -7.93680e+00   6.57900e+00   1.14500e+02
           175   1.06961e+02   1.75000e+02  -7.95342e+00   6.57900e+00   1.14583e+02
           176   1.07056e+02   1.76000e+02  -7.96915e+00   6.57900e+00   1.14667e+02
           177   1.07170e+02   1.77000e+02  -7.98361e+00   6.57900e+00   1.14750e+02
           178   1.07269e+02   1.78000e+02  -7.99657e+00   6.57900e+00   1.14833e+02
           179   1.07374e+02   1.79000e+02  -8.00834e+00   6.57900e+00   1.14917e+02
           180   1.07483e+02   1.80000e+02  -8.02087e+00   6.57900e+00   1.15000e+02
           181   1.07589e+02   1.81000e+02  -8.03374e+00   6.57900e+00   1.15083e+02
           182   1.07691e+02   1.82000e+02  -8.04759e+00   6.57900e+00   1.15167e+02
           183   1.07774e+02   1.83000e+02  -8.06183e+00   6.57900e+00   1.15250e+02
           184   1.07884e+02   1.84000e+02  -8.07573e+00   6.57900e+00   1.15333e+02
           185   1.07986e+02   1.85000e+02  -8.08964e+00   6.57900e+00   1.15417e+02
           186   1.08094e+02   1.86000e+02  -8.10180e+00   6.57900e+00   1.15500e+02
           187   1.08197e+02   1.87000e+02  -8.11473e+00   6.57900e+00   1.15583e+02
           188   1.08296e+02   1.88000e+02  -8.12650e+00   6.57900e+00   1.15667e+02
           189   1.08395e+02   1.89000e+02  -8.13917e+00   6.57900e+00   1.15750e+02
           190   1.08499e+02   1.90000e+02  -8.15133e+00   6.57900e+00   1.15833e+02
           191   1.08597e+02   1.91000e+02  -8.16395e+00   6.57900e+00   1.15917e+02
           192   1.08709e+02   1.92000e+02  -8.17836e+00   6.57900e+00   1.16000e+02
           193   1.08806e+02   1.93000e+02  -8.19090e+00   6.57900e+00   1.16083e+02
           194   1.08911e+02   1.94000e+02  -8.20318e+00   6.57900e+00   1.16167e+02
           195   1.09011e+02   1.95000e+02  -8.21571e+00   6.57900e+00   1.16250e+02
           196   1.09112e+02   1.96000e+02  -8.22590e+00   6.57897e+00   1.16333e+02
           197   1.09217e+02   1.97000e+02  -8.23824e+00   6.57888e+00   1.16417e+02
           198   1.09319e+02   1.98000e+02  -8.25069e+00   6.57878e+00   1.16500e+02
           199   1.09414e+02   1.99000e+02  -8.26373e+00   6.57867e+00   1.16583e+02
           200   1.09516e+02   2.00000e+02  -8.27505e+00   6.57850e+00   1.16667e+02
           201   1.09613e+02   2.01000e+02  -8.28703e+00   6.57838e+00   1.16750e+02
           202   1.09719e+02   2.02000e+02  -8.29989e+00   6.57828e+00   1.16833e+02
           203   1.09809e+02   2.03000e+02  -8.31365e+00   6.57818e+00   1.16917e+02
           204   1.09909e+02   2.04000e+02  -8.32647e+00   6.57814e+00   1.17000e+02
           205   1.10017e+02   2.05000e+02  -8.33860e+00   6.57809e+00   1.17083e+02
           206   1.10118e+02   2.06000e+02  -8.35068e+00   6.57805e+00   1.17167e+02
           207   1.10207e+02   2.07000e+02  -8.36320e+00   6.57802e+00   1.17250e+02
           208   1.10308e+02   2.08000e+02  -8.37512e+00   6.57803e+00   1.17333e+02
           209   1.10403e+02   2.09000e+02  -8.38803e+00   6.57802e+00   1.17417e+02
           210   1.10499e+02   2.10000e+02  -8.39999e+00   6.57801e+00   1.17500e+02
           211   1.10598e+02   2.11000e+02  -8.41068e+00   6.57800e+00   1.17583e+02
           212   1.10697e+02   2.12000e+02  -8.42210e+00   6.57800e+00   1.17667e+02
           213   1.10802e+02   2.13000e+02  -8.43373e+00   6.57800e+00   1.17750e+02
           214   1.10889e+02   2.14000e+02  -8.44438e+00   6.57800e+00   1.17833e+02
           215   1.11000e+02   2.15000e+02  -8.45466e+00   6.57800e+00   1.17917e+02
           216   1.11090e+02   2.16000e+02  -8.46415e+00   6.57797e+00   1.18000e+02
           217   1.11182e+02   2.17000e+02  -8.47526e+00   6.57788e+00   1.18083e+02
           218   1.11280e+02   2.18000e+02  -8.48640e+00   6.57778e+00   1.18167e+02
           219   1.11381e+02   2.19000e+02  -8.49597e+00   6.57767e+00   1.18250e+02
           220   1.11480e+02   2.20000e+02  -8.50842e+00   6.57761e+00   1.18333e+02
           221   1.11575e+02   2.21000e+02  -8.52115e+00   6.57760e+00   1.18417e+02
           222   1.11673e+02   2.22000e+02  -8.53398e+00   6.57761e+00   1.18500e+02
           223   1.11770e+02   2.23000e+02  -8.54718e+00   6.57763e+00   1.18583e+02
           224   1.11865e+02   2.24000e+02  -8.56441e+00   6.57779e+00   1.18667e+02
           225   1.11963e+02   2.25000e+02  -8.58017e+00   6.57786e+00   1.18750e+02
           226   1.12064e+02   2.26000e+02  -8.59451e+00   6.57791e+00   1.18833e+02
           227   1.12165e+02   2.27000e+02  -8.60838e+00   6.57796e+00   1.18917e+02
           228   1.12248e+02   2.28000e+02  -8.62623e+00   6.57796e+00   1.19000e+02
           229   1.12350e+02   2.29000e+02  -8.64210e+00   6.57797e+00   1.19083e+02
           230   1.12442e+02   2.30000e+02  -8.65646e+00   6.57798e+00   1.19167e+02
           231   1.12544e+02   2.31000e+02  -8.66978e+00   6.57799e+00   1.19250e+02
           232   1.12645e+02   2.32000e+02  -8.68574e+00   6.57799e+00   1.19333e+02
           233   1.12725e+02   2.33000e+02  -8.69959e+00   6.57799e+00   1.19417e+02
           234   1.12837e+02   2.34000e+02  -8.71345e+00   6.57797e+00   1.19500e+02
           235   1.12927e+02   2.35000e+02  -8.72806e+00   6.57789e+00   1.19583e+02
           236   1.13023e+02   2.36000e+02  -8.73860e+00   6.57776e+00   1.19667e+02
           237   1.13127e+02   2.37000e+02  -8.75229e+00   6.57765e+00   1.19750e+02
           238   1.13215e+02   2.38000e+02  -8.76705e+00   6.57754e+00   1.19833e+02
           239   1.13315e+02   2.39000e+02  -8.78218e+00   6.57743e+00   1.19917e+02
           240   1.13411e+02   2.40000e+02  -8.79777e+00   6.57729e+00   1.20000e+02
           241   1.13505e+02   2.41000e+02  -8.81201e+00   6.57719e+00   1.20083e+02
           242   1.13589e+02   2.42000e+02  -8.82599e+00   6.57711e+00   1.20167e+02
           243   1.13682e+02   2.43000e+02  -8.84084e+00   6.57705e+00   1.20250e+02
           244   1.13779e+02   2.44000e+02  -8.85965e+00   6.57706e+00   1.20333e+02
           245   1.13879e+02   2.45000e+02  -8.87536e+00   6.57704e+00   1.20417e+02
           246   1.13963e+02   2.46000e+02  -8.89037e+00   6.57702e+00   1.20500e+02
           247   1.14065e+02   2.47000e+02  -8.90515e+00   6.57701e+00   1.20583e+02
           248   1.14160e+02   2.48000e+02  -8.91973e+00   6.57701e+00   1.20667e+02
           249   1.14250e+02   2.49000e+02  -8.93477e+00   6.57701e+00   1.20750e+02
           250   1.14353e+02   2.50000e+02  -8.94966e+00   6.57700e+00   1.20833e+02
           251   1.14449e+02   2.51000e+02  -8.96429e+00   6.57700e+00   1.20917e+02
           252   1.14537e+02   2.52000e+02  -8.97992e+00   6.57697e+00   1.21000e+02
           253   1.14643e+02   2.53000e+02  -8.99525e+00   6.57688e+00   1.21083e+02
           254   1.14727e+02   2.54000e+02  -9.00808e+00   6.57678e+00   1.21167e+02
           255   1.14836e+02   2.55000e+02  -9.01972e+00   6.57667e+00   1.21250e+02
           256   1.14921e+02   2.56000e+02  -9.03199e+00   6.57650e+00   1.21333e+02
           257   1.15005e+02   2.57000e+02  -9.04470e+00   6.57638e+00   1.21417e+02
           258   1.15107e+02   2.58000e+02  -9.05790e+00   6.57628e+00   1.21500e+02
           259   1.15195e+02   2.59000e+02  -9.07186e+00   6.57619e+00   1.21583e+02
           260   1.15282e+02   2.60000e+02  -9.08641e+00   6.57614e+00   1.21667e+02
           261   1.15380e+02   2.61000e+02  -9.09923e+00   6.57610e+00   1.21750e+02
           262   1.15476e+02   2.62000e+02  -9.11139e+00   6.57606e+00   1.21833e+02
           263   1.15583e+02   2.63000e+02  -9.12355e+00   6.57602e+00   1.21917e+02
           264   1.15672e+02   2.64000e+02  -9.13575e+00   6.57603e+00   1.22000e+02
           265   1.15750e+02   2.65000e+02  -9.14836e+00   6.57602e+00   1.22083e+02
           266   1.15851e+02   2.66000e+02  -9.16134e+00   6.57601e+00   1.22167e+02
           267   1.15945e+02   2.67000e+02  -9.17346e+00   6.57600e+00   1.22250e+02
           268   1.16028e+02   2.68000e+02  -9.19102e+00   6.57600e+00   1.22333e+02
           269   1.16124e+02   2.69000e+02  -9.20577e+00   6.57600e+00   1.22417e+02
           270   1.16221e+02   2.70000e+02  -9.21937e+00   6.57600e+00   1.22500e+02
           271   1.16309e+02   2.71000e+02  -9.23292e+00   6.57600e+00   1.22583e+02
           272   1.16406e+02   2.72000e+02  -9.24649e+00   6.57600e+00   1.22667e+02
           273   1.16499e+02   2.73000e+02  -9.25976e+00   6.57600e+00   1.22750e+02
           274   1.16584e+02   2.74000e+02  -9.27380e+00   6.57600e+00   1.22833e+02
           275   1.16681e+02   2.75000e+02  -9.28833e+00   6.57600e+00   1.22917e+02
           276   1.16769e+02   2.76000e+02  -9.30230e+00   6.57600e+00   1.23000e+02
           277   1.16859e+02   2.77000e+02  -9.31638e+00   6.57600e+00   1.23083e+02
           278   1.16962e+02   2.78000e+02  -9.33101e+00   6.57600e+00   1.23167e+02
           279   1.17061e+02   2.79000e+02  -9.34553e+00   6.57600e+00   1.23250e+02
           280   1.17144e+02   2.80000e+02  -9.35903e+00   6.57600e+00   1.23333e+02
           281   1.17236e+02   2.81000e+02  -9.37214e+00   6.57600e+00   1.23417e+02
           282   1.17330e+02   2.82000e+02  -9.38504e+00   6.57600e+00   1.23500e+02
           283   1.17414e+02   2.83000e+02  -9.39755e+00   6.57600e+00   1.23583e+02
           284   1.17509e+02   2.84000e+02  -9.41124e+00   6.57589e+00   1.23667e+02
           285   1.17599e+02   2.85000e+02  -9.42453e+00   6.57578e+00   1.23750e+02
           286   1.17697e+02   2.86000e+02  -9.43727e+00   6.57567e+00   1.23833e+02
           287   1.17780e+02   2.87000e+02  -9.44879e+00   6.57556e+00   1.23917e+02
           288   1.17878e+02   2.88000e+02  -9.46041e+00   6.57536e+00   1.24000e+02
           289   1.17966e+02   2.89000e+02  -9.47345e+00   6.57523e+00   1.24083e+02
           290   1.18057e+02   2.90000e+02  -9.48749e+00   6.57514e+00   1.24167e+02
           291   1.18153e+02   2.91000e+02  -9.50156e+00   6.57506e+00   1.24250e+02
           292   1.18254e+02   2.92000e+02  -9.51559e+00   6.57507e+00   1.24333e+02
           293   1.18343e+02   2.93000e+02  -9.52913e+00   6.57505e+00   1.24417e+02
           294   1.18422e+02   2.94000e+02  -9.54191e+00   6.57503e+00   1.24500e+02
           295   1.18524e+02   2.95000e+02  -9.55381e+00   6.57501e+00   1.24583e+02
           296   1.18608e+02   2.96000e+02  -9.56885e+00   6.57501e+00   1.24667e+02
           297   1.18701e+02   2.97000e+02  -9.58402e+00   6.57501e+00   1.24750e+02
           298   1.18777e+02   2.98000e+02  -9.59921e+00   6.57500e+00   1.24833e+02
           299   1.18872e+02   2.99000e+02  -9.61370e+00   6.57500e+00   1.24917e+02
           300   1.18965e+02   3.00000e+02  -9.62928e+00   6.57500e+00   1.25000e+02
           301   1.19060e+02   3.01000e+02  -9.64428e+00   6.57500e+00   1.25083e+02
           302   1.19145e+02   3.02000e+02  -9.65926e+00   6.57500e+00   1.25167e+02
           303   1.19247e+02   3.03000e+02  -9.67391e+00   6.57500e+00   1.25250e+02
           304   1.19338e+02   3.04000e+02  -9.68977e+00   6.57500e+00   1.25333e+02
           305   1.19419e+02   3.05000e+02  -9.70591e+00   6.57500e+00   1.25417e+02
           306   1.19507e+02   3.06000e+02  -9.72150e+00   6.57500e+00   1.25500e+02
           307   1.19596e+02   3.07000e+02  -9.73659e+00   6.57500e+00   1.25583e+02
           308   1.19683e+02   3.08000e+02  -9.75397e+00   6.57500e+00   1.25667e+02
           309   1.19787e+02   3.09000e+02  -9.77156e+00   6.57500e+00   1.25750e+02
           310   1.19871e+02   3.10000e+02  -9.78921e+00   6.57500e+00   1.25833e+02
           311   1.19958e+02   3.11000e+02  -9.80715e+00   6.57500e+00   1.25917e+02
           312   1.20053e+02   3.12000e+02  -9.82464e+00   6.57500e+00   1.26000e+02
           313   1.20146e+02   3.13000e+02  -9.84169e+00   6.57497e+00   1.26083e+02
           314   1.20225e+02   3.14000e+02  -9.85882e+00   6.57488e+00   1.26167e+02
           315   1.20316e+02   3.15000e+02  -9.87506e+00   6.57478e+00   1.26250e+02
           316   1.20408e+02   3.16000e+02  -9.89175e+00   6.57464e+00   1.26333e+02
